iter	Passed	Remaining
0	1412	1410761
1	1432	715041
2	1454	483251
3	1479	368449
4	1499	298334
5	1519	251783
6	1542	218841
7	1558	193209
8	1569	172817
9	1582	156620
10	1595	143439
11	1608	132432
12	1620	123047
13	1631	114922
14	1645	108077
15	1662	102240
16	1681	97254
17	1706	93080
18	1741	89939
19	1762	86344
20	1792	83562
21	1816	80752
22	1833	77875
23	1849	75207
24	1862	72641
25	1884	70583
26	1900	68484
27	1917	66565
28	1933	64731
29	1948	62995
30	1964	61417
31	1980	59901
32	1998	58559
33	2017	57315
34	2038	56211
35	2055	55028
36	2070	53882
37	2086	52815
38	2102	51804
39	2119	50877
40	2140	50058
41	2156	49182
42	2171	48335
43	2184	47462
44	2200	46694
45	2218	46002
46	2233	45289
47	2250	44627
48	2268	44022
49	2289	43494
50	2309	42966
51	2324	42384
52	2340	41812
53	2358	41315
54	2387	41029
55	2418	40771
56	2447	40497
57	2468	40086
58	2490	39720
59	2508	39297
60	2532	38984
61	2561	38758
62	2616	38908
63	2637	38573
64	2657	38225
65	2688	38049
66	2744	38213
67	2772	37998
68	2817	38013
69	2842	37766
70	2862	37454
71	2872	37026
72	2885	36635
73	2898	36271
74	2913	35937
75	2925	35573
76	2937	35216
77	2949	34868
78	2963	34548
79	2976	34225
80	2987	33889
81	2998	33571
82	3012	33286
83	3025	32990
84	3036	32688
85	3048	32396
86	3061	32123
87	3073	31849
88	3087	31604
89	3101	31356
90	3118	31147
91	3138	30977
92	3156	30779
93	3171	30571
94	3188	30371
95	3203	30161
96	3216	29947
97	3231	29744
98	3247	29558
99	3262	29364
100	3277	29172
101	3292	28982
102	3307	28806
103	3322	28627
104	3340	28472
105	3357	28319
106	3380	28216
107	3402	28098
108	3417	27938
109	3430	27759
110	3441	27564
111	3453	27384
112	3466	27213
113	3477	27026
114	3490	26858
115	3501	26686
116	3514	26527
117	3525	26353
118	3537	26190
119	3549	26029
120	3571	25946
121	3592	25856
122	3608	25726
123	3647	25765
124	3665	25656
125	3682	25542
126	3699	25430
127	3716	25319
128	3733	25205
129	3744	25061
130	3757	24922
131	3768	24783
132	3784	24669
133	3796	24538
134	3809	24410
135	3820	24274
136	3832	24140
137	3844	24011
138	3856	23886
139	3867	23758
140	3884	23663
141	3900	23567
142	3915	23467
143	3930	23365
144	3944	23260
145	3960	23166
146	3975	23067
147	3990	22970
148	4005	22877
149	4021	22788
150	4038	22708
151	4051	22605
152	4062	22491
153	4078	22402
154	4092	22312
155	4110	22238
156	4127	22160
157	4142	22073
158	4156	21983
159	4170	21897
160	4186	21814
161	4203	21744
162	4221	21676
163	4238	21608
164	4256	21540
165	4274	21476
166	4289	21398
167	4308	21335
168	4327	21280
169	4348	21231
170	4368	21179
171	4383	21104
172	4400	21033
173	4414	20954
174	4426	20869
175	4440	20788
176	4453	20706
177	4467	20629
178	4481	20555
179	4492	20467
180	4506	20391
181	4521	20321
182	4535	20246
183	4549	20176
184	4562	20101
185	4574	20019
186	4589	19953
187	4604	19887
188	4632	19878
189	4652	19832
190	4672	19791
191	4698	19771
192	4722	19746
193	4746	19721
194	4766	19677
195	4783	19623
196	4799	19565
197	4816	19509
198	4833	19454
199	4847	19389
200	4861	19324
201	4875	19258
202	4886	19186
203	4899	19117
204	4911	19048
205	4925	18983
206	4939	18924
207	4953	18859
208	4964	18790
209	4979	18730
210	4992	18668
211	5007	18612
212	5021	18555
213	5034	18491
214	5048	18432
215	5061	18371
216	5075	18313
217	5088	18253
218	5101	18194
219	5114	18132
220	5127	18072
221	5141	18017
222	5154	17959
223	5164	17892
224	5178	17836
225	5190	17778
226	5204	17721
227	5215	17659
228	5227	17600
229	5241	17546
230	5253	17490
231	5267	17438
232	5279	17379
233	5291	17322
234	5305	17270
235	5318	17217
236	5336	17180
237	5358	17154
238	5386	17150
239	5409	17131
240	5437	17123
241	5464	17116
242	5486	17092
243	5502	17050
244	5516	16998
245	5530	16952
246	5543	16898
247	5557	16850
248	5569	16798
249	5585	16755
250	5597	16703
251	5611	16656
252	5623	16604
253	5638	16560
254	5652	16515
255	5666	16468
256	5680	16422
257	5695	16379
258	5706	16326
259	5720	16282
260	5733	16233
261	5749	16193
262	5762	16148
263	5775	16102
264	5787	16051
265	5800	16007
266	5813	15958
267	5825	15911
268	5835	15858
269	5849	15815
270	5862	15770
271	5875	15725
272	5886	15676
273	5898	15628
274	5910	15582
275	5922	15536
276	5934	15489
277	5994	15569
278	6017	15549
279	6049	15555
280	6098	15604
281	6255	15926
282	6320	16012
283	6366	16051
284	6386	16022
285	6401	15982
286	6422	15954
287	6442	15927
288	6455	15881
289	6468	15837
290	6484	15798
291	6497	15755
292	6508	15705
293	6524	15667
294	6541	15632
295	6556	15593
296	6572	15557
297	6598	15543
298	6649	15589
299	6702	15639
300	6732	15635
301	6749	15600
302	6765	15562
303	6781	15526
304	6797	15489
305	6809	15444
306	6821	15397
307	6834	15355
308	6846	15311
309	6860	15270
310	6876	15234
311	6891	15197
312	6907	15160
313	6921	15120
314	6936	15083
315	6952	15049
316	6967	15012
317	6989	14989
318	7011	14968
319	7028	14935
320	7051	14916
321	7067	14881
322	7079	14839
323	7093	14799
324	7106	14759
325	7125	14732
326	7142	14700
327	7158	14666
328	7175	14634
329	7191	14599
330	7205	14563
331	7220	14528
332	7237	14495
333	7253	14464
334	7271	14434
335	7289	14405
336	7305	14372
337	7320	14338
338	7337	14306
339	7354	14275
340	7370	14244
341	7386	14210
342	7403	14180
343	7419	14148
344	7444	14133
345	7458	14097
346	7472	14061
347	7485	14024
348	7495	13982
349	7506	13941
350	7518	13901
351	7528	13859
352	7540	13820
353	7553	13783
354	7565	13745
355	7577	13706
356	7588	13667
357	7600	13629
358	7612	13592
359	7627	13559
360	7646	13534
361	7661	13502
362	7674	13468
363	7694	13443
364	7711	13415
365	7728	13387
366	7744	13357
367	7760	13327
368	7776	13297
369	7794	13271
370	7810	13242
371	7826	13211
372	7841	13180
373	7855	13147
374	7870	13117
375	7885	13087
376	7902	13059
377	7918	13029
378	7932	12997
379	7945	12963
380	7958	12930
381	7969	12893
382	7982	12859
383	7996	12828
384	8011	12797
385	8024	12764
386	8037	12730
387	8049	12697
388	8062	12663
389	8075	12631
390	8090	12601
391	8102	12567
392	8119	12540
393	8132	12507
394	8144	12475
395	8158	12443
396	8170	12410
397	8181	12374
398	8195	12344
399	8211	12317
400	8229	12292
401	8245	12265
402	8260	12237
403	8276	12209
404	8290	12179
405	8306	12152
406	8324	12128
407	8342	12104
408	8359	12079
409	8380	12059
410	8403	12042
411	8431	12033
412	8450	12011
413	8469	11987
414	8485	11961
415	8500	11934
416	8513	11902
417	8525	11870
418	8539	11841
419	8552	11811
420	8565	11779
421	8579	11751
422	8590	11718
423	8602	11686
424	8617	11658
425	8632	11631
426	8648	11605
427	8663	11577
428	8683	11557
429	8699	11532
430	8720	11512
431	8737	11488
